Rotation,,B/T,HT,WT,DOB
,Chris Sale 41 IL-60,L/L,"6' 6""",183,03/30/1989
,Eduardo Rodriguez 57 IL-60,L/L,"6' 2""",231,04/07/1993
,Nathan Eovaldi 17,R/R,"6' 2""",217,02/13/1990
,Martín Pérez 54,L/L,"6' 0""",200,04/04/1991
,Tanner Houck 89,R/R,"6' 5""",230,06/29/1996
,Nick Pivetta 37,R/R,"6' 5""",214,02/14/1993
Bullpen,,B/T,HT,WT,DOB
,Matt Barnes 32 (CL),R/R,"6' 4""",208,06/17/1990
,Ryan Brasier 70,R/R,"6' 0""",227,08/26/1987
,Darwinzon Hernandez 63,L/L,"6' 2""",255,12/17/1996
,Josh Taylor 72,L/L,"6' 5""",245,03/02/1993
,Phillips Valdez 71,R/R,"6' 2""",160,11/16/1991
,Ryan Weber 65,R/R,"6' 1""",175,08/12/1990
,Chris Mazza 22,R/R,"6' 4""",190,10/17/1989
,Domingo Tapia 66,R/R,"6' 3""",263,08/04/1991
,Zack Godley 68 IL-60,R/R,"6' 3""",250,04/21/1990
,Colten Brewer 48 IL-60,R/R,"6' 4""",222,10/29/1992
,Dylan Covey 46,R/R,"6' 1""",215,08/14/1991
,Mike Kickham 74,L/L,"6' 4""",220,12/12/1988
,Austin Brice 31,R/R,"6' 4""",238,06/19/1992
Catcher,,B/T,HT,WT,DOB
,Christian Vázquez 7,R/R,"5' 9""",205,08/21/1990
,Kevin Plawecki 25,R/R,"6' 2""",208,02/26/1991
First Base,,B/T,HT,WT,DOB
,Bobby Dalbec 29,R/R,"6' 4""",227,06/29/1995
,Michael Chavis 23,R/R,"5' 10""",210,08/11/1995
Second Base,,B/T,HT,WT,DOB
,Christian Arroyo 39,R/R,"6' 1""",210,05/30/1995
,Michael Chavis 23,R/R,"5' 10""",210,8/11/1995
,Yairo Muñoz 60,R/R,"5' 11""",200,1/23/1995
,Tzu-Wei Lin 30,L/R,"5' 9""",180,02/15/1994
,Dustin Pedroia 15 IL-60,R/R,"5' 9""",170,08/17/1983
Third Base,,B/T,HT,WT,DOB
,Rafael Devers 11,L/R,"6' 0""",240,10/24/1996
,Bobby Dalbec 29,R/R,"6' 4""",227,6/29/1995
,Yairo Muñoz 60,R/R,"5' 11""",200,01/23/1995
,Jonathan Araúz 36,S/R,"6' 0""",195,08/03/1998
,Michael Chavis 23,R/R,"5' 10""",210,8/11/1995
Shortstop,,B/T,HT,WT,DOB
,Xander Bogaerts 2,R/R,"6' 2""",218,10/01/1992
,Jonathan Araúz 36,S/R,"6' 0""",195,08/03/1998
,Yairo Muñoz 60,R/R,"5' 11""",200,01/23/1995
,Tzu-Wei Lin 30,L/R,"5' 9""",180,02/15/1994
Left Field,,B/T,HT,WT,DOB
,Andrew Benintendi 16 IL-60,L/L,"5' 9""",180,07/06/1994
,Yairo Muñoz 60,R/R,"5' 11""",200,01/23/1995
,Alex Verdugo 99,L/L,"6' 0""",192,05/15/1996
,J.D. Martinez 28,R/R,"6' 3""",230,08/21/1987
,Michael Chavis 23,R/R,"5' 10""",210,8/11/1995
,César Puello 75,R/R,"6' 2""",220,4/1/1991
Center Field,,B/T,HT,WT,DOB
,Jackie Bradley Jr. 19,L/R,"5' 10""",196,04/19/1990
,Alex Verdugo 99,L/L,"6' 0""",192,05/15/1996
,Tzu-Wei Lin 30,L/R,"5' 9""",180,02/15/1994
,César Puello 75,R/R,"6' 2""",220,04/01/1991
Right Field,,B/T,HT,WT,DOB
,Alex Verdugo 99,L/L,"6' 0""",192,05/15/1996
,Yairo Muñoz 60,R/R,"5' 11""",200,01/23/1995
,J.D. Martinez 28,R/R,"6' 3""",230,08/21/1987
,César Puello 75,R/R,"6' 2""",220,04/01/1991
Designated Hitter,,B/T,HT,WT,DOB
,J.D. Martinez 28,R/R,"6' 3""",230,08/21/1987